link,foreignId,make,model,year,price,condition,kilometres,transmission,drivetrain,fueltype
14572689,1499648511,Mercedes-Benz,GL,2010,$13800,Used,200000,Automatic,All-wheel drive (AWD),Diesel
14572691,1499648551,Acura,RDX,2019,$42900,Used,8600,Automatic,All-wheel drive (AWD),Gas
14572694,1499648612,Chevrolet,Tahoe,2008,$14000,Used,214000,Automatic,All-wheel drive (AWD),Gas
14572695,1499648630,Hyundai,Other,2009,$3199,Used,164000,Automatic,N/A,N/A
14572698,1499648656,Dodge,Ram 3500,1990,$8900,Used,370000,Automatic,Rear-wheel drive (RWD),Diesel
14572699,1499648670,Chevrolet,Cruze,2019,$74,Used,26000,Automatic,N/A,Gas
14572798,1499649982,Ford,F 150,2007,$6500,Used,109,Automatic,Four-wheel drive,Gas
14572799,1499649986,Chevrolet,Silverado 1500,2012,N/A,Damaged,179,Automatic,Four-wheel drive,Gas
14572800,1499650006,Other,Other,1953,$5300,Used,12345,Manual,Rear-wheel drive (RWD),N/A
14572806,1499650132,Mercedes-Benz,Other,2004,$6500,Used,236253,Automatic,Rear-wheel drive (RWD),Gas
14572807,1499650146,Subaru,Impreza,2006,$3000,Used,232000,Automatic,All-wheel drive (AWD),Gas
14572808,1499650145,GMC,Sierra 3500,2006,$17000,Used,498576,Automatic,Four-wheel drive,Diesel
14572907,1499651867,Audi,TT,2008,$10500,Used,135000,Automatic,Front-wheel drive (FWD),Gas
14572909,1499651942,Chevrolet,Cobalt,2005,$600,Used,240000,Automatic,N/A,N/A
14572910,1499651955,Chevrolet,Silverado 1500,1980,$1500,Used,500000,Automatic,Four-wheel drive,N/A
14572914,1499652040,Volvo,S60,2003,$1750,Used,258816,Automatic,Front-wheel drive (FWD),Gas
14572918,6068265c-49e6-4a03-a982-0e388fc12785,Honda,Civic,2009,$6750,Used,133000,Manual,Front-wheel drive (FWD),Gas
14572921,1499652113,Volvo,V90,2017,$47000,Used,22883,Automatic,All-wheel drive (AWD),Gas
14573016,1499653719,Chevrolet,Silverado 1500,2013,$12999,Used,214000,Automatic,Four-wheel drive,N/A
14573017,1499653728,Jeep,Wrangler,2015,$27500,Used,87000,Automatic,Four-wheel drive,Gas
14573018,1499653755,Chevrolet,Other,1955,$10500,Used,10000,Automatic,Other,Gas
14573020,1499653796,Chevrolet,Impala,2006,$1600,Used,297000,Automatic,Front-wheel drive (FWD),N/A
14573021,1499653800,Pontiac,Firebird,1980,$5000,Used,35000,Automatic,N/A,Gas
14573022,1499653814,GMC,Sierra 1500,2005,$5800,Used,217209,Automatic,Four-wheel drive,Gas
14573023,1499653821,RAM,1500,2011,$20000,Used,195000,Automatic,All-wheel drive (AWD),Gas
14573025,1499653830,Honda,Pilot,2012,$18000,Used,102250,Automatic,All-wheel drive (AWD),Gas
14573028,1499653875,Mercedes-Benz,Other,1984,$5500,Used,308000,Automatic,Rear-wheel drive (RWD),Diesel
14573029,1499653916,Ford,Fusion,2013,$11000,Used,138000,Automatic,Front-wheel drive (FWD),Gas
14573030,1499653924,Acura,TL,2006,$3500,Used,230000,Automatic,Front-wheel drive (FWD),N/A
14573122,1499655390,Hyundai,Santa Fe,2007,$6600,Used,217,Automatic,All-wheel drive (AWD),Gas
14573123,1499655422,Jeep,CJ,1974,$7300,Used,100000,Manual,Four-wheel drive,Gas
14573126,1499655453,Audi,A3,2015,$26500,Used,59000,Automatic,All-wheel drive (AWD),Gas
14573127,1499655470,Audi,quattro,2014,$16500,Used,118000,Automatic,N/A,Gas
14573130,1499655503,Lincoln,MKS,2011,$15000,Used,78000,Automatic,All-wheel drive (AWD),Gas
14573131,1499655517,Mitsubishi,Lancer,2011,$4200,Used,197015,Automatic,N/A,Gas
14573134,1499655546,Chevrolet,Venture,2002,$1500,Used,153000,N/A,N/A,N/A
14573229,1499656867,Volkswagen,Jetta,2006,N/A,Used,305000,Automatic,Front-wheel drive (FWD),Diesel
14573232,1499656891,Jeep,Wrangler,2010,$10500,Used,198900,Automatic,Four-wheel drive,N/A
